MST_DEG,MST_y,DMST_DEG,DMST_y,Actuator Cylinder_DEG,Actuator Cylinder_y,U2DiVA_DEG,U2DiVA_y,Cactus_DEG,Cactus_y,ARDEMA2D_DEG,ARDEMA2D_y,Qblade_DEG,Qblade_y
,,,,353.6142164,0.004996063,355.5255853,0.006583727,,,311.4170713,0.034566314,,
,,,,355.6726137,0.001820734,357.1428975,0.003606856,,,318.7684903,0.031192527,,
,,,,356.9958691,-0.000362305,358.4661529,0.001423818,,,320.973916,0.029009488,,
,,,,358.6131813,-0.002148428,359.2012948,0.000233069,,,322.7382565,0.032978649,,
,,,,,,,,,,324.061512,0.034169397,,
,,,,,,,,,,327.5901931,0.030001778,,
,,,,,,,,,,331.412931,0.026032617,,
,,,,,,,,,,333.1772715,0.024841869,,
,,,,,,,,,,334.2064702,0.029406404,,
,,,,,,,,,,335.3826972,0.032978649,,
,,,,,,,,,,340.2346338,0.024048036,,
,,,,,,,,,,343.4692581,0.021071165,,
,,,,,,,,,,345.2335987,0.017697378,,
,,,,,,,,,,347.1449676,0.00936214,,
,,,,,,,,,,347.4390244,0.013926675,,
,,,,,,,,,,347.8801095,0.017895837,,
,,,,,,,,,,347.8801095,0.022261914,,
,,,,,,,,,,348.4682231,0.027223365,,
,,,,,,,,,,348.9093082,0.030200236,,
,,,,,,,,,,350.2325636,0.025834159,,
,,,,,,,,,,351.2617623,0.019880417,,
,,,,,,,,,,351.7028474,0.016308172,,
,,,,,,,,,,352.4379893,0.013529759,,
,,,,,,,,,,354.643415,0.010751346,,
,,,,,,,,,,356.2607272,0.008965224,,
,,,,,,,,,,357.4369542,0.007576017,,
,,,,,,,,,,359.6423799,0.005591437,,
,,,,,,,,,,360.2304935,0.004996063,,
