MST_DEG,MST_Fn,DMST_DEG,DMST_Fn,Actuator Cylinder_DEG,Actuator Cylinder_Fn,U2DiVA_DEG,U2DiVA_Fn,Cactus_DEG,Cactus_Fn,ARDEMA2D_DEG,ARDEMA2D_Fn,Qblade_DEG,Qblade_Fn
192.1845751,-2.958662714,347.6479033,-1.814917684,265.3340928,-4.26277411,141.4521046,6.546838835,,,215.419464,-5.926953386,255,-4.978572
194.1624801,-3.376220423,351.6037132,-1.30658656,270.9381568,-4.14174289,143.110524,6.218509742,,,216.243591,-5.359619542,260,-5.928694
196.3381755,-3.811932816,355.3617325,-0.76194607,277.3663478,-4.156871793,145.0835381,5.873663189,,,217.8918451,-4.918359886,265,-5.645918
198.7116614,-4.175026476,359.3175424,-0.03575875,284.1241897,-4.247645208,146.99441,5.534045184,,,223.7980891,-5.372226961,270,-5.32763
204.8431667,-4.937523162,,,291.5413332,-4.353547525,148.9829597,5.170423388,,,227.6440153,-5.58655308,275,-4.847958
207.6122336,-5.336926188,,,297.9695242,-4.519965453,150.5710375,4.83928197,,,229.979042,-5.435264055,280,-5.285546
210.974672,-5.627401117,,,303.7384137,-4.671254478,152.2609595,4.508489122,,,234.3743863,-5.094863748,285,-5.387944
214.9304819,-5.972340094,,,310.1666047,-4.852801308,153.9698694,4.146150696,,,240.8300483,-5.233545355,290,-5.442026
218.6885013,-6.208350973,,,316.2651449,-5.064605943,155.6787793,3.779106577,,,247.2857102,-5.271367611,295,-5.35373
223.4354732,-6.389897803,,,322.5285106,-5.125121553,157.3876891,3.404219635,,,253.6040176,-5.18311568,300,-5.396986
227.9846545,-6.535135267,,,328.7918762,-5.125121553,159.096599,3.023058434,,,259.098198,-5.157900842,305,-5.289856
232.5338359,-6.625908682,,,336.2090197,-4.988961431,160.8055089,2.635622975,,,265.6912145,-5.120078586,310,-4.91904
237.6763887,-6.716682097,,,342.30756,-4.701512283,162.3435277,2.264657444,,,272.284231,-5.094863748,315,-5.075684
242.6211511,-6.752991463,,,346.2633698,-4.368676428,163.8625587,1.906066145,,,275.0313211,-5.044434073,320,-4.996164
247.5659134,-6.771146146,,,351.537783,-3.914809353,165.0777835,1.5694472,,,278.8772474,-5.120078586,325,-4.341612
252.7084662,-6.771146146,,,354.9991166,-3.23400874,166.4449114,1.24312974,,,285.0582003,-5.120078586,330,-4.629492
257.6532286,-6.752991463,,,358.7901011,-2.734754957,167.8120393,0.898045526,,,287.393227,-5.057041492,335,-4.300894
262.4002004,-6.716682097,,,,,169.1791672,0.539236371,,,289.7282537,-5.157900842,340,-3.50613
267.5427533,-6.662218048,,,,,170.5462951,0.180427216,,,291.6512168,-5.069648911,345,-3.457152
272.6853061,-6.625908682,,,,,171.913423,-0.194067585,,,299.4804239,-4.918359886,350,-3.164116
277.2344875,-6.516980584,,,,,173.2805509,-0.550916035,,,304.5625407,-5.069648911,355,-2.673844
282.1792498,-6.426207169,,,,,174.6476788,-0.913646601,,,308.2711125,-5.069648911,360,-1.972632
286.9262217,-6.317279071,,,,,176.0148067,-1.274416462,,,314.4520654,-4.855322792,,
291.6731935,-6.19019629,,,,,177.2354566,-1.608016543,,,318.5727007,-4.287988948,,
296.4201654,-6.063113509,,,,,178.6807061,-1.910077271,,,322.8306905,-4.893145048,,
300.9693467,-5.899721362,,,,,180.2870813,-2.264572873,,,326.1271987,-4.640996673,,
305.5185281,-5.700019849,,,,,182.7573099,-2.879621497,,,331.6213791,-4.36363346,,
314.4191003,-5.300616822,,,,,184.8079247,-5.790991315,,,334.5058238,-4.035840573,,
322.7263011,-4.810440381,,,,,187.6029151,-2.256949527,,,338.2143956,-4.401455717,,
326.6821109,-4.465501404,,,,,189.9564948,-2.739837993,,,347.0050842,-3.922373804,,
330.0445493,-4.156871793,,,,,191.6178451,-3.159188503,,,349.6148199,-3.35503996,,
333.2091972,-3.830087499,,,,,192.4203414,-3.521385269,,,354.4222277,-3.367647379,,
336.5716356,-3.466993838,,,,,193.8254451,-3.887165822,,,358.268154,-2.888565466,,
339.7362835,-3.103900178,,,,,195.7527156,-4.273642714,,,360.4658261,-2.459913228,,
342.5053504,-2.740806518,,,,,198.0787318,-4.592438948,,,,,,
345.4722079,-2.359558175,,,,,199.9245968,-4.874713317,,,,,,
348.0434843,-1.978309832,,,,,200.9933726,-4.587355636,,,,,,
350.4169702,-1.597061488,,,,,202.1397306,-4.163088209,,,,,,
353.1860371,-1.197658462,,,,,204.9086479,-4.315579304,,,,,,
355.7573135,-0.834564802,,,,,206.3308677,-4.593891322,,,,,,
358.9219614,-0.162841531,,,,,208.5695396,-4.846822366,,,,,,
,,,,,,211.9019139,-5.197788698,,,,,,
,,,,,,214.8070606,-5.303521572,,,,,,
,,,,,,217.2303296,-5.078034776,,,,,,
,,,,,,219.7628993,-4.859834322,,,,,,
,,,,,,223.522501,-5.119360467,,,,,,
,,,,,,227.2821027,-5.234863861,,,,,,
,,,,,,231.0417044,-5.324699835,,,,,,
