Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:05
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
1.80000e+02,-2.15394e+00,1.80000e+02,-3.02229e+00,
1.85000e+02,-3.30808e+00,1.85000e+02,-4.20332e+00,
1.90000e+02,-4.38072e+00,1.90000e+02,-5.22776e+00,
1.95000e+02,-5.50735e+00,1.95000e+02,-6.14693e+00,
2.00000e+02,-6.48829e+00,2.00000e+02,-6.89126e+00,
2.05000e+02,-7.17940e+00,2.05000e+02,-7.15015e+00,
2.10000e+02,-7.68120e+00,2.10000e+02,-6.17911e+00,
2.15000e+02,-7.73935e+00,2.15000e+02,-7.15769e+00,
2.20000e+02,-8.13332e+00,2.20000e+02,-8.47124e+00,
2.25000e+02,-9.73982e+00,2.25000e+02,-8.80647e+00,
2.30000e+02,-1.01562e+01,2.30000e+02,-9.95683e+00,
2.35000e+02,-1.05210e+01,2.35000e+02,-1.11473e+01,
2.40000e+02,-1.08533e+01,2.40000e+02,-1.07681e+01,
2.45000e+02,-1.22121e+01,2.45000e+02,-1.10145e+01,
2.50000e+02,-1.33077e+01,2.50000e+02,-1.12406e+01,
2.55000e+02,-1.35713e+01,2.55000e+02,-1.14058e+01,
2.60000e+02,-1.31759e+01,2.60000e+02,-1.15598e+01,
2.65000e+02,-1.09949e+01,2.65000e+02,-1.06216e+01,
2.70000e+02,-1.15047e+01,2.70000e+02,-7.44346e+00,
2.75000e+02,-1.10040e+01,2.75000e+02,-9.80725e+00,
2.80000e+02,-1.06108e+01,2.80000e+02,-1.04620e+01,
2.85000e+02,-1.01902e+01,2.85000e+02,-1.01577e+01,
2.90000e+02,-9.72029e+00,2.90000e+02,-9.80151e+00,
2.95000e+02,-9.33870e+00,2.95000e+02,-9.48839e+00,
3.00000e+02,-9.23586e+00,3.00000e+02,-9.15144e+00,
3.05000e+02,-8.68111e+00,3.05000e+02,-8.71386e+00,
3.10000e+02,-7.95449e+00,3.10000e+02,-7.93588e+00,
3.15000e+02,-7.73539e+00,3.15000e+02,-7.40481e+00,
3.20000e+02,-5.48962e+00,3.20000e+02,-6.69579e+00,
3.25000e+02,-6.07476e+00,3.25000e+02,-5.04819e+00,
3.30000e+02,-5.75908e+00,3.30000e+02,-5.47674e+00,
3.35000e+02,-5.38680e+00,3.35000e+02,-5.30804e+00,
3.40000e+02,-4.44751e+00,3.40000e+02,-4.59275e+00,
3.45000e+02,-4.27477e+00,3.45000e+02,-4.33024e+00,
3.50000e+02,-3.35790e+00,3.50000e+02,-3.94806e+00,
3.55000e+02,-2.85692e+00,3.55000e+02,-3.29813e+00,
0.00000e+00,-2.09582e+00,0.00000e+00,-2.69612e+00,
5.00000e+00,-1.29158e+00,5.00000e+00,-1.98735e+00,
1.00000e+01,-4.64863e-01,1.00000e+01,-1.20754e+00,
1.50000e+01,4.08667e-01,1.50000e+01,-3.98858e-01,
