Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:04
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
1.10000e+02,1.13106e+02,
1.15000e+02,1.02254e+02,
1.20000e+02,8.86052e+01,
1.25000e+02,7.15325e+01,
1.30000e+02,6.14942e+01,
1.35000e+02,4.68119e+01,
1.40000e+02,3.88285e+01,
1.45000e+02,2.93647e+01,
1.50000e+02,2.15409e+01,
1.55000e+02,1.30634e+01,
1.60000e+02,3.75998e+00,
1.65000e+02,-3.11630e+00,
1.70000e+02,-7.85540e+00,
1.75000e+02,-9.77443e+00,
1.80000e+02,-8.16352e+00,
1.85000e+02,-2.49547e+00,
1.90000e+02,4.12705e+00,
1.95000e+02,1.67799e+01,
2.00000e+02,2.41040e+01,
2.05000e+02,3.42016e+01,
2.10000e+02,3.85005e+01,
2.15000e+02,4.58327e+01,
2.20000e+02,6.50468e+01,
2.25000e+02,7.84972e+01,
2.30000e+02,9.66051e+01,
2.35000e+02,1.06256e+02,
2.40000e+02,1.09182e+02,
2.45000e+02,1.08222e+02,
2.50000e+02,1.08580e+02,
2.55000e+02,1.05748e+02,
2.60000e+02,1.03199e+02,
2.65000e+02,1.00559e+02,
2.70000e+02,7.08043e+01,
2.75000e+02,1.45639e+02,
2.80000e+02,1.70914e+02,
2.85000e+02,1.28104e+02,
2.90000e+02,1.13225e+02,
2.95000e+02,2.00310e+01,
3.00000e+02,3.11570e+01,
3.05000e+02,5.85865e+01,
3.10000e+02,4.70667e+01,
3.15000e+02,2.43736e+01,
3.20000e+02,1.21324e+01,
3.25000e+02,1.57779e+01,
3.30000e+02,3.02359e+01,
3.35000e+02,1.09853e+01,
3.40000e+02,6.43296e+00,
3.45000e+02,1.36817e+00,
3.50000e+02,-8.58688e-01,
3.55000e+02,-1.06182e+01,
0.00000e+00,-1.72402e+01,
5.00000e+00,-2.15868e+01,
1.00000e+01,-2.19756e+01,
1.50000e+01,-1.92718e+01,
2.00000e+01,-1.20819e+01,
2.50000e+01,-2.12296e+00,
3.00000e+01,1.05738e+01,
3.50000e+01,2.47235e+01,
4.00000e+01,3.83851e+01,
4.50000e+01,5.12672e+01,
5.00000e+01,6.45018e+01,
5.50000e+01,7.64979e+01,
6.00000e+01,9.62483e+01,
6.50000e+01,1.07944e+02,
7.00000e+01,1.26237e+02,
7.50000e+01,1.37918e+02,
8.00000e+01,1.40936e+02,
8.50000e+01,1.53769e+02,
9.00000e+01,1.37319e+02,
9.50000e+01,1.50754e+02,
1.00000e+02,1.30410e+02,
1.05000e+02,1.30107e+02,
1.10000e+02,1.12571e+02,
1.15000e+02,1.03406e+02,
1.20000e+02,8.75174e+01,
1.25000e+02,7.25355e+01,
1.30000e+02,6.12214e+01,
1.35000e+02,4.68750e+01,
1.40000e+02,3.84777e+01,
1.45000e+02,2.93520e+01,
1.50000e+02,2.14713e+01,
1.55000e+02,1.31365e+01,
1.60000e+02,3.92092e+00,
1.65000e+02,-2.95062e+00,
1.70000e+02,-7.71974e+00,
1.75000e+02,-9.72126e+00,
1.80000e+02,-8.69520e+00,
1.85000e+02,-4.05465e+00,
1.90000e+02,8.49302e-01,
1.95000e+02,8.55017e+00,
2.00000e+02,2.76665e+01,
2.05000e+02,4.70312e+01,
2.10000e+02,6.92138e+01,
2.15000e+02,8.28823e+01,
2.20000e+02,7.07393e+01,
2.25000e+02,1.14005e+02,
2.30000e+02,8.68855e+01,
2.35000e+02,1.05751e+02,
2.40000e+02,9.85056e+01,
2.45000e+02,1.06427e+02,
2.50000e+02,1.07370e+02,
2.55000e+02,1.06625e+02,
2.60000e+02,1.13583e+02,
2.65000e+02,1.23476e+02,
2.70000e+02,1.23117e+02,
2.75000e+02,9.38286e+01,
2.80000e+02,1.26530e+02,
2.85000e+02,2.93789e+01,
2.90000e+02,3.64820e+01,
2.95000e+02,3.22520e+01,
3.00000e+02,8.25107e+01,
3.05000e+02,6.69806e+01,
3.10000e+02,5.05152e+01,
3.15000e+02,5.07310e+01,
3.20000e+02,1.49806e+01,
3.25000e+02,2.32067e+01,
3.30000e+02,2.17752e+01,
3.35000e+02,1.96272e+01,
3.40000e+02,9.09098e+00,
3.45000e+02,8.43695e+00,
3.50000e+02,-3.19119e+00,
3.55000e+02,-8.98806e+00,
0.00000e+00,-1.72617e+01,
5.00000e+00,-2.14951e+01,
1.00000e+01,-2.19972e+01,
1.50000e+01,-1.92174e+01,
2.00000e+01,-1.21285e+01,
2.50000e+01,-1.56907e+00,
3.00000e+01,1.12578e+01,
3.50000e+01,2.55865e+01,
4.00000e+01,3.91527e+01,
4.50000e+01,5.20349e+01,
5.00000e+01,6.52126e+01,
5.50000e+01,7.70412e+01,
6.00000e+01,9.74904e+01,
6.50000e+01,1.08516e+02,
7.00000e+01,1.28188e+02,
7.50000e+01,1.37757e+02,
8.00000e+01,1.43128e+02,
8.50000e+01,1.51383e+02,
9.00000e+01,1.41537e+02,
9.50000e+01,1.47456e+02,
1.00000e+02,1.33811e+02,
1.05000e+02,1.27897e+02,
1.10000e+02,1.12383e+02,
1.15000e+02,1.02346e+02,
1.20000e+02,8.80927e+01,
1.25000e+02,7.10395e+01,
1.30000e+02,6.14079e+01,
1.35000e+02,4.67170e+01,
1.40000e+02,3.87489e+01,
1.45000e+02,2.94392e+01,
1.50000e+02,2.16285e+01,
1.55000e+02,1.31188e+01,
1.60000e+02,3.81163e+00,
1.65000e+02,-3.04678e+00,
1.70000e+02,-7.80305e+00,
1.75000e+02,-9.76452e+00,
1.80000e+02,-8.24487e+00,
1.85000e+02,-2.80854e+00,
1.90000e+02,3.83648e+00,
1.95000e+02,1.67223e+01,
2.00000e+02,2.49709e+01,
2.05000e+02,3.64257e+01,
2.10000e+02,5.26048e+01,
2.15000e+02,8.08991e+01,
2.20000e+02,4.80474e+01,
2.25000e+02,1.08017e+02,
2.30000e+02,7.41894e+01,
2.35000e+02,1.18572e+02,
2.40000e+02,1.02171e+02,
2.45000e+02,1.13389e+02,
2.50000e+02,1.06133e+02,
2.55000e+02,1.06757e+02,
2.60000e+02,1.11987e+02,
2.65000e+02,1.06973e+02,
2.70000e+02,9.51406e+01,
2.75000e+02,8.96101e+01,
2.80000e+02,1.10998e+02,
2.85000e+02,1.15831e+02,
2.90000e+02,1.09786e+02,
2.95000e+02,8.48720e+01,
3.00000e+02,4.88935e+01,
3.05000e+02,5.09520e+01,
3.10000e+02,4.67046e+01,
3.15000e+02,4.64403e+01,
3.20000e+02,2.06638e+01,
3.25000e+02,2.94055e+01,
3.30000e+02,3.00388e+01,
3.35000e+02,2.32470e+01,
3.40000e+02,1.08804e+01,
3.45000e+02,1.20117e+01,
3.50000e+02,-5.52064e+00,
3.55000e+02,-9.49549e+00,
0.00000e+00,-1.80832e+01,
5.00000e+00,-2.14688e+01,
1.00000e+01,-2.20146e+01,
1.50000e+01,-1.93678e+01,
2.00000e+01,-1.18339e+01,
2.50000e+01,-1.61493e+00,
3.00000e+01,1.14649e+01,
3.50000e+01,2.56475e+01,
4.00000e+01,3.92377e+01,
4.50000e+01,5.21180e+01,
5.00000e+01,6.52129e+01,
5.50000e+01,7.69751e+01,
6.00000e+01,9.73849e+01,
6.50000e+01,1.08437e+02,
7.00000e+01,1.28021e+02,
7.50000e+01,1.38086e+02,
8.00000e+01,1.42960e+02,
8.50000e+01,1.51997e+02,
9.00000e+01,1.40858e+02,
9.50000e+01,1.48119e+02,
1.00000e+02,1.33248e+02,
1.05000e+02,1.28178e+02,
1.10000e+02,1.12373e+02,
1.15000e+02,1.02149e+02,
1.20000e+02,8.79175e+01,
1.25000e+02,7.18139e+01,
1.30000e+02,6.12885e+01,
1.35000e+02,4.67707e+01,
1.40000e+02,3.85673e+01,
1.45000e+02,2.94231e+01,
1.50000e+02,2.15461e+01,
1.55000e+02,1.31349e+01,
1.60000e+02,3.87705e+00,
1.65000e+02,-3.04243e+00,
1.70000e+02,-7.81215e+00,
1.75000e+02,-9.76680e+00,
1.80000e+02,-8.16564e+00,
1.85000e+02,-2.42030e+00,
1.90000e+02,3.86496e+00,
1.95000e+02,1.59847e+01,
2.00000e+02,2.41934e+01,
2.05000e+02,3.53653e+01,
2.10000e+02,4.84006e+01,
2.15000e+02,6.81522e+01,
2.20000e+02,6.89511e+01,
2.25000e+02,8.55480e+01,
2.30000e+02,9.34306e+01,
2.35000e+02,1.07193e+02,
2.40000e+02,1.09862e+02,
2.45000e+02,1.11434e+02,
2.50000e+02,1.11270e+02,
2.55000e+02,1.13337e+02,
2.60000e+02,1.17402e+02,
2.65000e+02,4.68434e+01,
2.70000e+02,6.48253e+00,
2.75000e+02,1.86170e+02,
2.80000e+02,1.49583e+02,
2.85000e+02,1.12634e+02,
2.90000e+02,5.10393e+01,
2.95000e+02,9.11837e+01,
3.00000e+02,1.81481e+02,
3.05000e+02,9.58136e+01,
3.10000e+02,8.34971e+01,
3.15000e+02,3.81261e+01,
3.20000e+02,2.91907e+01,
3.25000e+02,2.64667e+01,
3.30000e+02,2.18094e+01,
3.35000e+02,1.88849e+01,
3.40000e+02,7.83724e+00,
3.45000e+02,1.09718e+01,
3.50000e+02,-5.50981e+00,
3.55000e+02,-9.13276e+00,
0.00000e+00,-1.79118e+01,
5.00000e+00,-2.13924e+01,
1.00000e+01,-2.20587e+01,
1.50000e+01,-1.94760e+01,
2.00000e+01,-1.25594e+01,
2.50000e+01,-2.10311e+00,
3.00000e+01,1.06624e+01,
3.50000e+01,2.49665e+01,
4.00000e+01,3.85439e+01,
4.50000e+01,5.14431e+01,
5.00000e+01,6.48134e+01,
5.50000e+01,7.65708e+01,
6.00000e+01,9.69112e+01,
6.50000e+01,1.08270e+02,
7.00000e+01,1.27719e+02,
7.50000e+01,1.37933e+02,
8.00000e+01,1.42501e+02,
8.50000e+01,1.51904e+02,
9.00000e+01,1.40202e+02,
9.50000e+01,1.48144e+02,
1.00000e+02,1.32202e+02,
1.05000e+02,1.28776e+02,
1.10000e+02,1.12323e+02,
1.15000e+02,1.02648e+02,
1.20000e+02,8.74135e+01,
1.25000e+02,7.20861e+01,
1.30000e+02,6.10465e+01,
1.35000e+02,4.66717e+01,
1.40000e+02,3.84463e+01,
1.45000e+02,2.93215e+01,
1.50000e+02,2.14712e+01,
1.55000e+02,1.30198e+01,
1.60000e+02,3.72182e+00,
1.65000e+02,-3.15647e+00,
1.70000e+02,-7.86602e+00,
1.75000e+02,-9.75722e+00,
1.80000e+02,-8.07630e+00,
1.85000e+02,-2.16264e+00,
1.90000e+02,4.15593e+00,
1.95000e+02,1.67987e+01,
2.00000e+02,2.51646e+01,
2.05000e+02,3.67691e+01,
2.10000e+02,5.19351e+01,
