Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:47
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
3.20000e+02,-5.76846e+00,3.20000e+02,-7.28373e+00,
3.25000e+02,-5.76830e+00,3.25000e+02,-5.63975e+00,
3.30000e+02,-5.73985e+00,3.30000e+02,-5.11804e+00,
3.35000e+02,-4.71134e+00,3.35000e+02,-5.24284e+00,
3.40000e+02,-3.91058e+00,3.40000e+02,-4.99449e+00,
3.45000e+02,-4.04192e+00,3.45000e+02,-4.62169e+00,
3.50000e+02,-3.20026e+00,3.50000e+02,-4.16378e+00,
3.55000e+02,-2.69302e+00,3.55000e+02,-3.51541e+00,
0.00000e+00,-1.88261e+00,0.00000e+00,-2.92460e+00,
5.00000e+00,-1.11513e+00,5.00000e+00,-2.07950e+00,
1.00000e+01,-4.36831e-01,1.00000e+01,-1.22378e+00,
1.50000e+01,3.99524e-01,1.50000e+01,-5.03209e-01,
2.00000e+01,1.28647e+00,2.00000e+01,3.72101e-01,
2.50000e+01,2.03885e+00,2.50000e+01,1.27819e+00,
3.00000e+01,2.76121e+00,3.00000e+01,2.05217e+00,
3.50000e+01,3.47209e+00,3.50000e+01,2.76754e+00,
4.00000e+01,4.21225e+00,4.00000e+01,3.45549e+00,
4.50000e+01,4.94265e+00,4.50000e+01,4.14142e+00,
5.00000e+01,5.65172e+00,5.00000e+01,4.82707e+00,
5.50000e+01,6.29429e+00,5.50000e+01,5.50852e+00,
6.00000e+01,6.89567e+00,6.00000e+01,6.11688e+00,
6.50000e+01,7.29167e+00,6.50000e+01,6.67291e+00,
7.00000e+01,7.79093e+00,7.00000e+01,7.12684e+00,
7.50000e+01,8.06117e+00,7.50000e+01,7.47343e+00,
8.00000e+01,8.41678e+00,8.00000e+01,7.73465e+00,
8.50000e+01,8.72862e+00,8.50000e+01,7.94851e+00,
9.00000e+01,8.99731e+00,9.00000e+01,8.21761e+00,
9.50000e+01,9.23992e+00,9.50000e+01,8.40410e+00,
1.00000e+02,9.38098e+00,1.00000e+02,8.45826e+00,
1.05000e+02,9.44448e+00,1.05000e+02,8.54767e+00,
1.10000e+02,9.42652e+00,1.10000e+02,8.39915e+00,
1.15000e+02,9.28866e+00,1.15000e+02,8.34902e+00,
1.20000e+02,8.97770e+00,1.20000e+02,7.99685e+00,
1.25000e+02,8.56549e+00,1.25000e+02,7.62574e+00,
1.30000e+02,8.15217e+00,1.30000e+02,7.08862e+00,
1.35000e+02,7.47405e+00,1.35000e+02,6.51172e+00,
1.40000e+02,6.79490e+00,1.40000e+02,5.75979e+00,
1.45000e+02,5.83950e+00,1.45000e+02,4.80806e+00,
1.50000e+02,4.86486e+00,1.50000e+02,3.81370e+00,
1.55000e+02,3.75173e+00,1.55000e+02,2.79247e+00,
1.60000e+02,2.66129e+00,1.60000e+02,1.77578e+00,
