Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:15
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
3.40000e+02,-6.61883e+02,
3.45000e+02,-7.06318e+02,
3.50000e+02,-6.16964e+02,
3.55000e+02,-5.49222e+02,
0.00000e+00,-4.07116e+02,
5.00000e+00,-2.63226e+02,
1.00000e+01,-1.35429e+02,
1.50000e+01,1.97933e+01,
2.00000e+01,1.98045e+02,
2.50000e+01,3.56982e+02,
3.00000e+01,4.98755e+02,
3.50000e+01,6.18242e+02,
4.00000e+01,7.00289e+02,
4.50000e+01,7.48912e+02,
5.00000e+01,7.92201e+02,
5.50000e+01,8.24090e+02,
6.00000e+01,9.16765e+02,
6.50000e+01,9.48712e+02,
7.00000e+01,1.03928e+03,
7.50000e+01,1.07599e+03,
8.00000e+01,1.09137e+03,
8.50000e+01,1.10462e+03,
9.00000e+01,1.05046e+03,
9.50000e+01,1.02785e+03,
1.00000e+02,9.62670e+02,
1.05000e+02,8.91602e+02,
1.10000e+02,7.93552e+02,
1.15000e+02,7.23863e+02,
1.20000e+02,6.51228e+02,
1.25000e+02,5.52164e+02,
1.30000e+02,4.94529e+02,
1.35000e+02,4.20907e+02,
1.40000e+02,3.90892e+02,
1.45000e+02,3.55313e+02,
1.50000e+02,3.26065e+02,
1.55000e+02,2.82331e+02,
1.60000e+02,2.01954e+02,
1.65000e+02,1.17022e+02,
1.70000e+02,2.65329e+01,
1.75000e+02,-6.47004e+01,
1.80000e+02,-1.85140e+02,
1.85000e+02,-3.02725e+02,
1.90000e+02,-3.67203e+02,
1.95000e+02,-4.48962e+02,
2.00000e+02,-4.83462e+02,
2.05000e+02,-5.48558e+02,
2.10000e+02,-6.00824e+02,
2.15000e+02,-7.09685e+02,
2.20000e+02,-7.44299e+02,
2.25000e+02,-8.32525e+02,
2.30000e+02,-9.96866e+02,
2.35000e+02,-9.43928e+02,
2.40000e+02,-9.92825e+02,
2.45000e+02,-9.49922e+02,
2.50000e+02,-9.38257e+02,
2.55000e+02,-9.09135e+02,
2.60000e+02,-9.40565e+02,
2.65000e+02,-9.44993e+02,
2.70000e+02,-9.69324e+02,
2.75000e+02,-9.34573e+02,
2.80000e+02,-9.83841e+02,
2.85000e+02,-9.14264e+02,
2.90000e+02,-7.44650e+02,
2.95000e+02,-2.96073e+02,
3.00000e+02,-3.20301e+02,
3.05000e+02,-3.38877e+02,
3.10000e+02,-1.06145e+03,
3.15000e+02,-7.27393e+02,
3.20000e+02,-9.86874e+02,
3.25000e+02,-5.95240e+02,
3.30000e+02,-6.80202e+02,
3.35000e+02,-6.77970e+02,
3.40000e+02,-6.59916e+02,
3.45000e+02,-7.19044e+02,
3.50000e+02,-6.21922e+02,
3.55000e+02,-5.61831e+02,
0.00000e+00,-4.02612e+02,
5.00000e+00,-2.60988e+02,
1.00000e+01,-1.25153e+02,
1.50000e+01,1.87049e+01,
2.00000e+01,1.97814e+02,
2.50000e+01,3.54686e+02,
3.00000e+01,4.97878e+02,
3.50000e+01,6.18286e+02,
4.00000e+01,7.01339e+02,
4.50000e+01,7.49773e+02,
5.00000e+01,7.93136e+02,
5.50000e+01,8.25325e+02,
6.00000e+01,9.19760e+02,
6.50000e+01,9.49843e+02,
7.00000e+01,1.04602e+03,
7.50000e+01,1.07582e+03,
8.00000e+01,1.10037e+03,
8.50000e+01,1.09901e+03,
9.00000e+01,1.06577e+03,
9.50000e+01,1.02254e+03,
1.00000e+02,9.61999e+02,
1.05000e+02,8.82990e+02,
1.10000e+02,7.90936e+02,
1.15000e+02,7.21096e+02,
1.20000e+02,6.48283e+02,
1.25000e+02,5.50540e+02,
1.30000e+02,4.94191e+02,
1.35000e+02,4.20731e+02,
1.40000e+02,3.89974e+02,
1.45000e+02,3.55246e+02,
1.50000e+02,3.25529e+02,
1.55000e+02,2.81499e+02,
1.60000e+02,2.01026e+02,
1.65000e+02,1.16448e+02,
1.70000e+02,2.64878e+01,
1.75000e+02,-6.38853e+01,
1.80000e+02,-1.82760e+02,
1.85000e+02,-2.96681e+02,
1.90000e+02,-3.65126e+02,
1.95000e+02,-4.48807e+02,
2.00000e+02,-4.83254e+02,
2.05000e+02,-5.53138e+02,
2.10000e+02,-5.81514e+02,
2.15000e+02,-6.43430e+02,
2.20000e+02,-7.75680e+02,
2.25000e+02,-9.38047e+02,
2.30000e+02,-1.00952e+03,
2.35000e+02,-1.00584e+03,
2.40000e+02,-9.72922e+02,
2.45000e+02,-9.30743e+02,
2.50000e+02,-9.13295e+02,
2.55000e+02,-8.96940e+02,
2.60000e+02,-8.91075e+02,
2.65000e+02,-8.87409e+02,
2.70000e+02,-7.49905e+02,
2.75000e+02,-9.85581e+02,
2.80000e+02,-1.23722e+03,
2.85000e+02,-1.03295e+03,
2.90000e+02,-7.42185e+02,
2.95000e+02,-4.07692e+02,
3.00000e+02,-5.02763e+02,
3.05000e+02,-6.90316e+02,
3.10000e+02,-5.53889e+02,
3.15000e+02,-3.91650e+02,
3.20000e+02,-4.04037e+02,
3.25000e+02,-3.75220e+02,
3.30000e+02,-6.97592e+02,
3.35000e+02,-6.39557e+02,
3.40000e+02,-6.27065e+02,
3.45000e+02,-6.17820e+02,
3.50000e+02,-6.40781e+02,
3.55000e+02,-5.25638e+02,
0.00000e+00,-3.98653e+02,
5.00000e+00,-2.35241e+02,
1.00000e+01,-1.05730e+02,
1.50000e+01,3.66745e+01,
2.00000e+01,2.03596e+02,
2.50000e+01,3.54276e+02,
3.00000e+01,4.92279e+02,
3.50000e+01,6.11533e+02,
4.00000e+01,6.95136e+02,
4.50000e+01,7.44810e+02,
5.00000e+01,7.87743e+02,
5.50000e+01,8.20631e+02,
6.00000e+01,9.06811e+02,
6.50000e+01,9.45977e+02,
7.00000e+01,1.02209e+03,
7.50000e+01,1.07322e+03,
8.00000e+01,1.06850e+03,
