Export File Created with QBlade v0.96 64bit on 03.07.2020 at 17:57:48
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
2.00000e+02,-6.57086e+00,
2.05000e+02,-7.06117e+00,
2.10000e+02,-4.87261e+00,
2.15000e+02,-6.45557e+00,
2.20000e+02,-5.59442e+00,
2.25000e+02,-5.61224e+00,
2.30000e+02,-5.44270e+00,
2.35000e+02,-4.99994e+00,
2.40000e+02,-4.65838e+00,
2.45000e+02,-4.08321e+00,
2.50000e+02,-3.53914e+00,
2.55000e+02,-3.75062e+00,
2.60000e+02,-6.15737e+00,
2.65000e+02,-5.98843e+00,
2.70000e+02,-4.28089e+00,
2.75000e+02,-5.39911e+00,
2.80000e+02,-6.07696e+00,
2.85000e+02,-6.75390e+00,
2.90000e+02,-6.77553e+00,
2.95000e+02,-7.03898e+00,
3.00000e+02,-2.43317e+00,
3.05000e+02,-7.00619e+00,
3.10000e+02,-4.45818e+00,
3.15000e+02,-7.66404e+00,
3.20000e+02,-4.78867e+00,
3.25000e+02,-7.32009e+00,
3.30000e+02,-3.98580e+00,
3.35000e+02,-6.40039e+00,
3.40000e+02,-4.56901e+00,
3.45000e+02,-4.83585e+00,
3.50000e+02,-4.17974e+00,
3.55000e+02,-3.75368e+00,
0.00000e+00,-2.57132e+00,
5.00000e+00,-1.81778e+00,
1.00000e+01,-1.22772e+00,
1.50000e+01,-4.76282e-01,
2.00000e+01,7.21466e-02,
2.50000e+01,8.99717e-01,
3.00000e+01,1.51906e+00,
3.50000e+01,2.23417e+00,
4.00000e+01,2.87343e+00,
4.50000e+01,3.53014e+00,
5.00000e+01,4.30514e+00,
5.50000e+01,4.96854e+00,
6.00000e+01,5.66263e+00,
6.50000e+01,6.26536e+00,
7.00000e+01,6.80080e+00,
7.50000e+01,6.38041e+00,
8.00000e+01,8.17315e+00,
8.50000e+01,5.90508e+00,
9.00000e+01,9.38067e+00,
9.50000e+01,5.69741e+00,
1.00000e+02,9.99208e+00,
1.05000e+02,5.58840e+00,
1.10000e+02,1.02300e+01,
1.15000e+02,5.44987e+00,
1.20000e+02,9.44869e+00,
1.25000e+02,5.02183e+00,
1.30000e+02,7.96451e+00,
1.35000e+02,4.14463e+00,
1.40000e+02,6.04201e+00,
1.45000e+02,4.89950e+00,
1.50000e+02,3.86006e+00,
1.55000e+02,3.09001e+00,
1.60000e+02,1.69280e+00,
1.65000e+02,8.91071e-01,
1.70000e+02,-4.03346e-01,
1.75000e+02,-1.34249e+00,
1.80000e+02,-2.52006e+00,
1.85000e+02,-3.70575e+00,
1.90000e+02,-5.51244e+00,
1.95000e+02,-7.56070e+00,
2.00000e+02,-6.61370e+00,
2.05000e+02,-6.59492e+00,
2.10000e+02,-5.96775e+00,
2.15000e+02,-6.06271e+00,
2.20000e+02,-5.87356e+00,
2.25000e+02,-5.90337e+00,
2.30000e+02,-3.70305e+00,
2.35000e+02,-3.63145e+00,
2.40000e+02,-2.55540e+00,
2.45000e+02,-1.67240e+00,
2.50000e+02,-5.38641e+00,
2.55000e+02,-4.37574e+00,
2.60000e+02,-3.91680e+00,
2.65000e+02,-3.79669e+00,
2.70000e+02,-3.88501e+00,
2.75000e+02,-4.69772e+00,
2.80000e+02,-6.48532e+00,
2.85000e+02,-7.26875e+00,
2.90000e+02,-6.71045e+00,
2.95000e+02,-6.52905e+00,
3.00000e+02,-7.36501e+00,
3.05000e+02,-5.39707e+00,
3.10000e+02,-7.93833e+00,
3.15000e+02,-5.88238e+00,
3.20000e+02,-8.80091e+00,
3.25000e+02,-5.44517e+00,
3.30000e+02,-7.08060e+00,
3.35000e+02,-3.99677e+00,
3.40000e+02,-6.08670e+00,
3.45000e+02,-4.55853e+00,
3.50000e+02,-3.67364e+00,
3.55000e+02,-3.09672e+00,
0.00000e+00,-2.77292e+00,
5.00000e+00,-2.31436e+00,
1.00000e+01,-1.66350e+00,
1.50000e+01,-1.12689e+00,
2.00000e+01,-3.21130e-01,
2.50000e+01,4.27558e-01,
3.00000e+01,1.27442e+00,
3.50000e+01,1.92558e+00,
4.00000e+01,2.69299e+00,
4.50000e+01,3.50226e+00,
5.00000e+01,4.37192e+00,
5.50000e+01,5.22479e+00,
6.00000e+01,5.86672e+00,
6.50000e+01,6.44422e+00,
7.00000e+01,6.86362e+00,
7.50000e+01,6.23776e+00,
8.00000e+01,8.23768e+00,
8.50000e+01,5.80826e+00,
9.00000e+01,9.31016e+00,
9.50000e+01,5.58222e+00,
1.00000e+02,9.79569e+00,
1.05000e+02,5.42981e+00,
1.10000e+02,9.88472e+00,
1.15000e+02,5.21753e+00,
1.20000e+02,9.05781e+00,
1.25000e+02,4.72953e+00,
1.30000e+02,7.53092e+00,
1.35000e+02,3.76477e+00,
1.40000e+02,5.59052e+00,
1.45000e+02,4.39644e+00,
1.50000e+02,3.39779e+00,
1.55000e+02,2.68200e+00,
1.60000e+02,1.37493e+00,
1.65000e+02,4.87414e-01,
1.70000e+02,-8.25480e-01,
1.75000e+02,-1.70866e+00,
1.80000e+02,-2.85385e+00,
1.85000e+02,-3.79008e+00,
1.90000e+02,-5.01506e+00,
1.95000e+02,-6.33225e+00,
2.00000e+02,-8.49528e+00,
2.05000e+02,-7.01681e+00,
2.10000e+02,-2.19952e+00,
2.15000e+02,-7.94520e+00,
2.20000e+02,-3.30275e+00,
2.25000e+02,-2.40647e+00,
2.30000e+02,-2.58680e+00,
2.35000e+02,-1.68325e+00,
2.40000e+02,-1.66946e+00,
2.45000e+02,-4.95647e+00,
2.50000e+02,-4.92740e+00,
2.55000e+02,-4.97882e+00,
2.60000e+02,-4.86880e+00,
2.65000e+02,-4.84369e+00,
2.70000e+02,-2.20331e+00,
2.75000e+02,7.83754e-01,
2.80000e+02,-2.20899e+00,
2.85000e+02,-4.11472e-01,
2.90000e+02,-3.48571e+00,
2.95000e+02,-2.71598e+00,
3.00000e+02,-3.49460e+00,
3.05000e+02,-3.22991e+00,
3.10000e+02,-6.53430e+00,
3.15000e+02,-6.96898e+00,
3.20000e+02,-5.38075e+00,
3.25000e+02,-7.37439e+00,
3.30000e+02,-4.88148e+00,
3.35000e+02,-6.67600e+00,
3.40000e+02,-4.58489e+00,
3.45000e+02,-5.16838e+00,
3.50000e+02,-4.25901e+00,
3.55000e+02,-3.81747e+00,
0.00000e+00,-3.60568e+00,
5.00000e+00,-2.15277e+00,
1.00000e+01,-1.64117e+00,
1.50000e+01,-6.77043e-01,
2.00000e+01,-1.33225e-01,
2.50000e+01,7.74106e-01,
3.00000e+01,1.38597e+00,
3.50000e+01,2.12520e+00,
4.00000e+01,2.74737e+00,
4.50000e+01,3.40897e+00,
5.00000e+01,4.31830e+00,
5.50000e+01,5.06782e+00,
6.00000e+01,5.70214e+00,
6.50000e+01,6.19164e+00,
7.00000e+01,6.65404e+00,
7.50000e+01,6.65006e+00,
8.00000e+01,7.27823e+00,
8.50000e+01,6.35218e+00,
9.00000e+01,8.85515e+00,
9.50000e+01,5.72852e+00,
1.00000e+02,9.55749e+00,
1.05000e+02,5.42811e+00,
1.10000e+02,9.69076e+00,
1.15000e+02,5.15284e+00,
1.20000e+02,9.11797e+00,
1.25000e+02,4.69756e+00,
1.30000e+02,7.73477e+00,
1.35000e+02,3.83830e+00,
1.40000e+02,5.84793e+00,
1.45000e+02,3.56132e+00,
1.50000e+02,2.79776e+00,
1.55000e+02,1.66252e+00,
1.60000e+02,1.62673e-01,
1.65000e+02,-9.29801e-01,
1.70000e+02,-1.43000e+00,
1.75000e+02,-2.42812e+00,
1.80000e+02,-3.97423e+00,
1.85000e+02,-5.13723e+00,
1.90000e+02,-4.93730e+00,
1.95000e+02,-6.22019e+00,
2.00000e+02,-8.17576e+00,
2.05000e+02,-6.18551e+00,
2.10000e+02,-2.17979e+00,
2.15000e+02,-1.92308e+00,
2.20000e+02,-8.04826e+00,
2.25000e+02,-5.71965e+00,
2.30000e+02,-3.57905e+00,
2.35000e+02,-2.29134e+00,
2.40000e+02,-4.46192e+00,
2.45000e+02,-4.47963e+00,
2.50000e+02,-5.65017e+00,
2.55000e+02,-6.14659e+00,
2.60000e+02,-3.50700e+00,
2.65000e+02,-3.32978e+00,
2.70000e+02,-4.03080e+00,
2.75000e+02,-4.50773e+00,
2.80000e+02,-5.40009e+00,
2.85000e+02,-6.07756e+00,
2.90000e+02,-6.29391e+00,
2.95000e+02,-5.73620e+00,
3.00000e+02,-3.83586e+00,
3.05000e+02,-4.31547e+00,
3.10000e+02,-8.83573e+00,
3.15000e+02,-5.11612e+00,
3.20000e+02,-7.85766e+00,
3.25000e+02,-3.83305e+00,
3.30000e+02,-7.23105e+00,
3.35000e+02,-3.61952e+00,
3.40000e+02,-6.08368e+00,
3.45000e+02,-4.49917e+00,
3.50000e+02,-4.18493e+00,
3.55000e+02,-3.92634e+00,
0.00000e+00,-3.19767e+00,
5.00000e+00,-2.10232e+00,
1.00000e+01,-1.89868e+00,
1.50000e+01,-6.71369e-01,
2.00000e+01,-2.84891e-01,
2.50000e+01,8.58011e-01,
3.00000e+01,1.36132e+00,
3.50000e+01,2.21443e+00,
4.00000e+01,2.74014e+00,
4.50000e+01,3.47413e+00,
5.00000e+01,4.16173e+00,
5.50000e+01,4.98135e+00,
6.00000e+01,5.61376e+00,
6.50000e+01,6.18171e+00,
7.00000e+01,6.69254e+00,
7.50000e+01,6.54447e+00,
8.00000e+01,7.66600e+00,
8.50000e+01,6.25713e+00,
9.00000e+01,9.10452e+00,
9.50000e+01,6.45464e+00,
1.00000e+02,1.00733e+01,
1.05000e+02,5.70724e+00,
1.10000e+02,1.02778e+01,
1.15000e+02,5.41895e+00,
1.20000e+02,9.26383e+00,
1.25000e+02,4.92731e+00,
