Export File Created with QBlade v0.96 64bit on 03.07.2020 at 15:46:19
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
2.35000e+02,-1.28026e+03,
2.40000e+02,-1.18720e+03,
2.45000e+02,-2.67847e+03,
2.50000e+02,-2.83244e+03,
2.55000e+02,-2.94465e+03,
2.60000e+02,-2.97747e+03,
2.65000e+02,-3.07726e+03,
2.70000e+02,-1.84633e+03,
2.75000e+02,5.76017e+02,
2.80000e+02,-1.66492e+03,
2.85000e+02,-2.50866e+02,
2.90000e+02,-2.27493e+03,
2.95000e+02,-1.95854e+03,
3.00000e+02,-2.36747e+03,
3.05000e+02,-2.23451e+03,
3.10000e+02,-3.28845e+03,
3.15000e+02,-5.50421e+03,
3.20000e+02,-3.52006e+03,
3.25000e+02,-6.74540e+03,
3.30000e+02,-3.68402e+03,
3.35000e+02,-5.29859e+03,
3.40000e+02,-3.73326e+03,
3.45000e+02,-4.06325e+03,
3.50000e+02,-3.75098e+03,
3.55000e+02,-3.63258e+03,
0.00000e+00,-3.62491e+03,
5.00000e+00,-2.39088e+03,
1.00000e+01,-1.80934e+03,
1.50000e+01,-6.72089e+02,
2.00000e+01,-1.25027e+02,
2.50000e+01,7.77457e+02,
3.00000e+01,1.48957e+03,
3.50000e+01,2.31095e+03,
4.00000e+01,2.99472e+03,
4.50000e+01,3.40256e+03,
5.00000e+01,3.75140e+03,
5.50000e+01,3.99801e+03,
6.00000e+01,4.15649e+03,
6.50000e+01,4.22535e+03,
7.00000e+01,4.93704e+03,
7.50000e+01,4.76902e+03,
8.00000e+01,6.40591e+03,
8.50000e+01,3.78136e+03,
9.00000e+01,7.24569e+03,
9.50000e+01,3.33880e+03,
1.00000e+02,7.19608e+03,
1.05000e+02,2.88598e+03,
1.10000e+02,6.49603e+03,
1.15000e+02,2.49495e+03,
1.20000e+02,5.45835e+03,
1.25000e+02,2.26302e+03,
1.30000e+02,4.39397e+03,
1.35000e+02,1.92946e+03,
1.40000e+02,2.37846e+03,
1.45000e+02,1.80461e+03,
1.50000e+02,1.52828e+03,
1.55000e+02,8.73295e+02,
1.60000e+02,7.88866e+01,
1.65000e+02,-4.27176e+02,
1.70000e+02,-6.90255e+02,
1.75000e+02,-1.23990e+03,
1.80000e+02,-1.77987e+03,
1.85000e+02,-2.02329e+03,
1.90000e+02,-2.03361e+03,
1.95000e+02,-2.52681e+03,
2.00000e+02,-5.14505e+03,
2.05000e+02,-3.01485e+03,
2.10000e+02,-1.45769e+03,
2.15000e+02,-1.35503e+03,
2.20000e+02,-5.70422e+03,
2.25000e+02,-3.37321e+03,
2.30000e+02,-2.88670e+03,
2.35000e+02,-1.87960e+03,
2.40000e+02,-2.90851e+03,
2.45000e+02,-2.84967e+03,
2.50000e+02,-3.18521e+03,
2.55000e+02,-3.36716e+03,
2.60000e+02,-2.53267e+03,
2.65000e+02,-2.37092e+03,
2.70000e+02,-2.56240e+03,
2.75000e+02,-2.72391e+03,
2.80000e+02,-3.00245e+03,
2.85000e+02,-3.19668e+03,
2.90000e+02,-3.24906e+03,
2.95000e+02,-3.15518e+03,
3.00000e+02,-2.68488e+03,
3.05000e+02,-3.26503e+03,
3.10000e+02,-7.98106e+03,
3.15000e+02,-3.41533e+03,
3.20000e+02,-7.01463e+03,
3.25000e+02,-3.16879e+03,
3.30000e+02,-6.98283e+03,
3.35000e+02,-3.24175e+03,
3.40000e+02,-4.33875e+03,
3.45000e+02,-3.77422e+03,
3.50000e+02,-3.71320e+03,
3.55000e+02,-3.69190e+03,
0.00000e+00,-3.44568e+03,
5.00000e+00,-2.35266e+03,
1.00000e+01,-2.11398e+03,
1.50000e+01,-6.65552e+02,
2.00000e+01,-2.69263e+02,
2.50000e+01,8.66811e+02,
3.00000e+01,1.45498e+03,
3.50000e+01,2.41607e+03,
4.00000e+01,2.98225e+03,
4.50000e+01,3.43597e+03,
5.00000e+01,3.68014e+03,
5.50000e+01,3.96781e+03,
6.00000e+01,4.12412e+03,
6.50000e+01,4.22313e+03,
7.00000e+01,5.12002e+03,
7.50000e+01,4.28852e+03,
8.00000e+01,6.74392e+03,
8.50000e+01,3.73863e+03,
9.00000e+01,7.44337e+03,
9.50000e+01,3.52667e+03,
1.00000e+02,7.45619e+03,
1.05000e+02,2.73919e+03,
1.10000e+02,6.43636e+03,
1.15000e+02,2.50244e+03,
1.20000e+02,5.27575e+03,
1.25000e+02,2.33800e+03,
1.30000e+02,4.14989e+03,
1.35000e+02,1.93692e+03,
1.40000e+02,2.28078e+03,
1.45000e+02,1.73037e+03,
1.50000e+02,1.54431e+03,
1.55000e+02,1.01165e+03,
1.60000e+02,6.94977e+02,
1.65000e+02,1.30083e+02,
1.70000e+02,-2.23100e+02,
1.75000e+02,-8.56551e+02,
1.80000e+02,-1.42395e+03,
1.85000e+02,-1.93255e+03,
1.90000e+02,-2.48581e+03,
1.95000e+02,-4.88684e+03,
2.00000e+02,-2.82095e+03,
2.05000e+02,-9.24903e+02,
2.10000e+02,-2.24052e+03,
2.15000e+02,-2.62002e+03,
2.20000e+02,-3.18002e+03,
2.25000e+02,-2.86266e+03,
2.30000e+02,-3.17697e+03,
2.35000e+02,-3.34124e+03,
2.40000e+02,-3.22474e+03,
2.45000e+02,-3.29190e+03,
2.50000e+02,-3.38153e+03,
2.55000e+02,-3.36755e+03,
2.60000e+02,-3.41292e+03,
2.65000e+02,-3.17032e+03,
2.70000e+02,-7.35867e+02,
2.75000e+02,-2.50789e+03,
2.80000e+02,-6.81295e+02,
2.85000e+02,-2.81277e+03,
2.90000e+02,-2.46640e+03,
2.95000e+02,-2.96694e+03,
3.00000e+02,-3.63779e+03,
3.05000e+02,-3.23611e+03,
3.10000e+02,-3.67187e+03,
3.15000e+02,-3.91025e+03,
3.20000e+02,-3.91813e+03,
3.25000e+02,-3.94694e+03,
3.30000e+02,-3.82361e+03,
3.35000e+02,-3.73463e+03,
3.40000e+02,-3.80785e+03,
3.45000e+02,-3.84627e+03,
3.50000e+02,-3.78293e+03,
3.55000e+02,-3.11492e+03,
0.00000e+00,-3.56769e+03,
5.00000e+00,-1.78520e+03,
1.00000e+01,-2.02549e+03,
1.50000e+01,-6.75650e+02,
2.00000e+01,-4.06612e+02,
2.50000e+01,6.80293e+02,
3.00000e+01,1.30496e+03,
3.50000e+01,2.33953e+03,
4.00000e+01,2.90513e+03,
4.50000e+01,3.41774e+03,
5.00000e+01,3.66866e+03,
5.50000e+01,3.97142e+03,
6.00000e+01,4.13988e+03,
6.50000e+01,4.23904e+03,
7.00000e+01,5.26905e+03,
7.50000e+01,4.22766e+03,
8.00000e+01,6.88661e+03,
8.50000e+01,3.74825e+03,
9.00000e+01,7.39018e+03,
9.50000e+01,3.33768e+03,
1.00000e+02,7.28249e+03,
1.05000e+02,2.82646e+03,
1.10000e+02,6.49429e+03,
1.15000e+02,2.50007e+03,
1.20000e+02,5.44948e+03,
1.25000e+02,2.30802e+03,
1.30000e+02,4.38164e+03,
1.35000e+02,1.96285e+03,
1.40000e+02,2.40224e+03,
1.45000e+02,2.06467e+03,
1.50000e+02,1.72544e+03,
1.55000e+02,1.20704e+03,
1.60000e+02,3.73320e+02,
1.65000e+02,-1.92182e+01,
1.70000e+02,-4.87565e+02,
1.75000e+02,-1.31937e+03,
1.80000e+02,-1.86905e+03,
1.85000e+02,-2.03273e+03,
1.90000e+02,-2.74805e+03,
1.95000e+02,-2.50098e+03,
2.00000e+02,-2.17799e+03,
2.05000e+02,-3.21088e+03,
2.10000e+02,-3.38298e+03,
2.15000e+02,-3.34536e+03,
2.20000e+02,-3.42728e+03,
2.25000e+02,-6.09655e+02,
2.30000e+02,-1.70175e+03,
2.35000e+02,-2.99051e+03,
2.40000e+02,-2.74147e+03,
2.45000e+02,-2.48824e+03,
2.50000e+02,-5.43520e+02,
2.55000e+02,-2.44149e+03,
2.60000e+02,-1.97560e+03,
2.65000e+02,-2.39374e+03,
2.70000e+02,-2.07462e+03,
2.75000e+02,-2.11842e+03,
2.80000e+02,-2.49809e+03,
2.85000e+02,-2.96782e+03,
2.90000e+02,-3.28739e+03,
2.95000e+02,-3.89464e+03,
3.00000e+02,-1.02194e+03,
3.05000e+02,-5.81791e+03,
3.10000e+02,-2.62925e+03,
3.15000e+02,-5.90107e+03,
3.20000e+02,-3.16281e+03,
3.25000e+02,-4.46568e+03,
3.30000e+02,-3.52721e+03,
3.35000e+02,-3.89844e+03,
3.40000e+02,-3.64821e+03,
3.45000e+02,-3.78175e+03,
3.50000e+02,-3.69819e+03,
3.55000e+02,-3.10706e+03,
0.00000e+00,-3.51502e+03,
5.00000e+00,-2.29524e+03,
1.00000e+01,-2.24274e+03,
1.50000e+01,-1.07656e+03,
2.00000e+01,-4.22020e+02,
2.50000e+01,5.72285e+02,
3.00000e+01,1.36846e+03,
3.50000e+01,2.24650e+03,
4.00000e+01,2.97564e+03,
4.50000e+01,3.40335e+03,
5.00000e+01,3.76828e+03,
5.50000e+01,4.01399e+03,
6.00000e+01,4.12810e+03,
6.50000e+01,4.23008e+03,
7.00000e+01,4.76380e+03,
7.50000e+01,4.72292e+03,
8.00000e+01,6.27512e+03,
8.50000e+01,3.79549e+03,
9.00000e+01,7.16974e+03,
9.50000e+01,3.45084e+03,
1.00000e+02,7.22195e+03,
1.05000e+02,2.84537e+03,
1.10000e+02,6.38882e+03,
1.15000e+02,2.46539e+03,
1.20000e+02,5.24971e+03,
1.25000e+02,2.21279e+03,
1.30000e+02,4.08001e+03,
1.35000e+02,1.83359e+03,
1.40000e+02,2.15876e+03,
1.45000e+02,1.52807e+03,
1.50000e+02,1.28670e+03,
1.55000e+02,8.36621e+02,
1.60000e+02,3.94476e+02,
1.65000e+02,-1.19986e+02,
1.70000e+02,-5.49689e+02,
1.75000e+02,-9.52369e+02,
1.80000e+02,-1.44241e+03,
1.85000e+02,-1.69426e+03,
1.90000e+02,-2.04875e+03,
1.95000e+02,-2.29398e+03,
2.00000e+02,-2.47813e+03,
2.05000e+02,-2.57600e+03,
2.10000e+02,-2.24577e+03,
2.15000e+02,-5.39591e+02,
2.20000e+02,-3.99700e+02,
2.25000e+02,-1.96286e+03,
2.30000e+02,-2.12530e+03,
2.35000e+02,-2.39286e+03,
2.40000e+02,-2.04682e+03,
2.45000e+02,-1.48767e+03,
2.50000e+02,-1.81009e+03,
2.55000e+02,-2.01700e+03,
2.60000e+02,-2.24345e+03,
2.65000e+02,-1.99661e+03,
2.70000e+02,-1.11038e+03,
2.75000e+02,-2.76860e+03,
2.80000e+02,-2.32980e+03,
2.85000e+02,-1.30017e+03,
2.90000e+02,-9.50131e+02,
2.95000e+02,-1.13451e+02,
3.00000e+02,-1.55055e+03,
3.05000e+02,-1.04713e+03,
3.10000e+02,-4.14994e+03,
3.15000e+02,-3.30901e+03,
3.20000e+02,-4.92004e+03,
3.25000e+02,-3.87608e+03,
3.30000e+02,-3.98646e+03,
3.35000e+02,-3.80929e+03,
3.40000e+02,-3.64240e+03,
3.45000e+02,-3.64183e+03,
3.50000e+02,-3.36470e+03,
3.55000e+02,-3.54242e+03,
0.00000e+00,-2.81296e+03,
5.00000e+00,-3.24608e+03,
1.00000e+01,-1.26928e+03,
1.50000e+01,-1.54171e+03,
2.00000e+01,7.44755e+01,
2.50000e+01,2.72601e+02,
3.00000e+01,1.52316e+03,
3.50000e+01,1.96600e+03,
4.00000e+01,3.06571e+03,
4.50000e+01,3.30671e+03,
5.00000e+01,3.71249e+03,
5.50000e+01,3.89978e+03,
6.00000e+01,4.10479e+03,
6.50000e+01,4.18212e+03,
7.00000e+01,4.73217e+03,
7.50000e+01,5.27338e+03,
8.00000e+01,5.54468e+03,
8.50000e+01,6.15019e+03,
9.00000e+01,5.88051e+03,
9.50000e+01,5.92802e+03,
1.00000e+02,4.68990e+03,
1.05000e+02,4.93318e+03,
1.10000e+02,3.88640e+03,
1.15000e+02,3.92504e+03,
1.20000e+02,3.15539e+03,
1.25000e+02,2.89555e+03,
1.30000e+02,1.84060e+03,
1.35000e+02,1.88427e+03,
1.40000e+02,1.73461e+03,
1.45000e+02,1.30821e+03,
1.50000e+02,1.04958e+03,
1.55000e+02,6.37104e+02,
1.60000e+02,1.69249e+02,
1.65000e+02,-2.71091e+02,
1.70000e+02,-8.99196e+02,
1.75000e+02,-1.31924e+03,
1.80000e+02,-1.82878e+03,
1.85000e+02,-2.27754e+03,
1.90000e+02,-2.77095e+03,
1.95000e+02,-4.53262e+03,
2.00000e+02,-2.79469e+03,
2.05000e+02,-3.48300e+03,
2.10000e+02,-7.94423e+02,
2.15000e+02,-2.46011e+03,
2.20000e+02,-2.29214e+03,
2.25000e+02,-6.83140e+03,
2.30000e+02,-2.66641e+03,
2.35000e+02,-3.64399e+03,
2.40000e+02,2.88304e+02,
2.45000e+02,-2.11438e+03,
2.50000e+02,-4.99346e+03,
2.55000e+02,-1.36034e+03,
2.60000e+02,-2.00374e+03,
2.65000e+02,-2.11226e+03,
2.70000e+02,-1.95330e+03,
2.75000e+02,-2.10925e+03,
2.80000e+02,-2.13461e+03,
2.85000e+02,-2.32514e+03,
2.90000e+02,-2.88997e+03,
2.95000e+02,-6.51659e+03,
3.00000e+02,-6.36148e+03,
3.05000e+02,-2.79646e+03,
3.10000e+02,-3.44532e+03,
3.15000e+02,-3.50480e+03,
3.20000e+02,-3.57108e+03,
3.25000e+02,-3.61396e+03,
3.30000e+02,-3.59506e+03,
3.35000e+02,-3.66475e+03,
3.40000e+02,-3.53471e+03,
3.45000e+02,-3.69645e+03,
3.50000e+02,-3.85399e+03,
3.55000e+02,-3.73619e+03,
0.00000e+00,-2.79952e+03,
5.00000e+00,-3.52295e+03,
1.00000e+01,-1.26450e+03,
1.50000e+01,-1.92656e+03,
2.00000e+01,5.60321e+01,
2.50000e+01,1.03585e+02,
3.00000e+01,1.47713e+03,
3.50000e+01,1.91547e+03,
4.00000e+01,3.05659e+03,
4.50000e+01,3.31618e+03,
5.00000e+01,3.70588e+03,
5.50000e+01,3.94255e+03,
6.00000e+01,4.14979e+03,
6.50000e+01,4.28503e+03,
7.00000e+01,6.35907e+03,
7.50000e+01,3.94116e+03,
8.00000e+01,7.57313e+03,
8.50000e+01,3.62753e+03,
9.00000e+01,7.91350e+03,
9.50000e+01,3.25408e+03,
1.00000e+02,7.50928e+03,
1.05000e+02,2.75246e+03,
1.10000e+02,6.54670e+03,
1.15000e+02,2.61082e+03,
1.20000e+02,5.54016e+03,
1.25000e+02,2.41626e+03,
1.30000e+02,4.50621e+03,
1.35000e+02,2.14915e+03,
1.40000e+02,2.55951e+03,
1.45000e+02,1.99870e+03,
1.50000e+02,1.77192e+03,
1.55000e+02,1.18686e+03,
1.60000e+02,6.47908e+02,
