Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:12
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
3.25000e+02,2.64069e+01,3.25000e+02,1.42738e+01,
3.30000e+02,2.80342e+01,3.30000e+02,7.73606e+00,
3.35000e+02,2.16012e+01,3.35000e+02,1.40410e+01,
3.40000e+02,1.30494e+01,3.40000e+02,5.42495e+00,
3.45000e+02,1.15483e+01,3.45000e+02,2.42473e+00,
3.50000e+02,-2.79805e+00,3.50000e+02,-6.30145e+00,
3.55000e+02,-8.81859e+00,3.55000e+02,-1.35280e+01,
0.00000e+00,-1.70924e+01,0.00000e+00,-2.31466e+01,
5.00000e+00,-2.16398e+01,5.00000e+00,-3.06034e+01,
1.00000e+01,-2.21501e+01,1.00000e+01,-3.36287e+01,
1.50000e+01,-1.88724e+01,1.50000e+01,-3.17793e+01,
2.00000e+01,-1.04974e+01,2.00000e+01,-2.55686e+01,
2.50000e+01,1.27637e+00,2.50000e+01,-1.30700e+01,
3.00000e+01,1.57613e+01,3.00000e+01,4.53126e+00,
3.50000e+01,3.10047e+01,3.50000e+01,2.50300e+01,
4.00000e+01,4.49109e+01,4.00000e+01,4.60949e+01,
4.50000e+01,5.87473e+01,4.50000e+01,6.47268e+01,
5.00000e+01,7.23232e+01,5.00000e+01,8.23307e+01,
5.50000e+01,8.45963e+01,5.50000e+01,9.91891e+01,
6.00000e+01,9.55463e+01,6.00000e+01,1.14231e+02,
6.50000e+01,1.04983e+02,6.50000e+01,1.27151e+02,
7.00000e+01,1.12638e+02,7.00000e+01,1.38027e+02,
7.50000e+01,1.18662e+02,7.50000e+01,1.46393e+02,
8.00000e+01,1.22861e+02,8.00000e+01,1.52208e+02,
8.50000e+01,1.25189e+02,8.50000e+01,1.55432e+02,
9.00000e+01,1.25649e+02,9.00000e+01,1.55990e+02,
9.50000e+01,1.24125e+02,9.50000e+01,1.54130e+02,
1.00000e+02,1.20793e+02,1.00000e+02,1.49852e+02,
1.05000e+02,1.15770e+02,1.05000e+02,1.43290e+02,
1.10000e+02,1.09213e+02,1.10000e+02,1.34676e+02,
1.15000e+02,1.01275e+02,1.15000e+02,1.24264e+02,
1.20000e+02,9.21650e+01,1.20000e+02,1.12306e+02,
1.25000e+02,8.22320e+01,1.25000e+02,9.91078e+01,
1.30000e+02,7.15598e+01,1.30000e+02,8.49703e+01,
1.35000e+02,6.04109e+01,1.35000e+02,7.01145e+01,
1.40000e+02,4.89069e+01,1.40000e+02,5.48604e+01,
1.45000e+02,3.74184e+01,1.45000e+02,3.97059e+01,
1.50000e+02,2.63171e+01,1.50000e+02,2.42737e+01,
1.55000e+02,1.53423e+01,1.55000e+02,9.06135e+00,
1.60000e+02,4.31436e+00,1.60000e+02,-3.39055e+00,
