Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:19:05
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
1.30000e+02,4.91633e+02,1.30000e+02,6.50548e+02,
1.35000e+02,4.21328e+02,1.35000e+02,5.75960e+02,
1.40000e+02,3.91423e+02,1.40000e+02,5.31147e+02,
1.45000e+02,3.52771e+02,1.45000e+02,4.80869e+02,
1.50000e+02,3.26998e+02,1.50000e+02,4.18655e+02,
1.55000e+02,2.84885e+02,1.55000e+02,3.14438e+02,
1.60000e+02,2.07233e+02,1.60000e+02,1.87534e+02,
1.65000e+02,1.22229e+02,1.65000e+02,5.58943e+01,
1.70000e+02,3.21057e+01,1.70000e+02,-7.55428e+01,
1.75000e+02,-5.64815e+01,1.75000e+02,-2.38991e+02,
1.80000e+02,-1.74917e+02,1.80000e+02,-4.03742e+02,
1.85000e+02,-2.96106e+02,1.85000e+02,-5.19801e+02,
1.90000e+02,-3.64194e+02,1.90000e+02,-6.14833e+02,
1.95000e+02,-4.43910e+02,1.95000e+02,-6.81038e+02,
2.00000e+02,-4.86348e+02,2.00000e+02,-7.38054e+02,
2.05000e+02,-5.64882e+02,2.05000e+02,-7.96814e+02,
2.10000e+02,-7.53235e+02,2.10000e+02,-9.18669e+02,
2.15000e+02,-9.42591e+02,2.15000e+02,-1.06992e+03,
2.20000e+02,-9.47351e+02,2.20000e+02,-1.06357e+03,
2.25000e+02,-9.06708e+02,2.25000e+02,-1.56790e+03,
2.30000e+02,-8.90998e+02,2.30000e+02,-1.52443e+03,
2.35000e+02,-9.02945e+02,2.35000e+02,-1.48265e+03,
2.40000e+02,-8.83509e+02,2.40000e+02,-1.43729e+03,
2.45000e+02,-1.14129e+03,2.45000e+02,-1.40890e+03,
2.50000e+02,-5.74191e+02,2.50000e+02,-1.40034e+03,
2.55000e+02,-8.68072e+02,2.55000e+02,-1.39206e+03,
2.60000e+02,-8.02672e+02,2.60000e+02,-1.35102e+03,
2.65000e+02,-9.19031e+02,2.65000e+02,-1.32369e+03,
2.70000e+02,-1.01147e+03,2.70000e+02,-1.23132e+03,
2.75000e+02,-9.55403e+02,2.75000e+02,-1.24430e+03,
2.80000e+02,-9.61479e+02,2.80000e+02,-1.30594e+03,
2.85000e+02,-9.64419e+02,2.85000e+02,-1.27699e+03,
2.90000e+02,-6.72655e+02,2.90000e+02,-1.29586e+03,
2.95000e+02,-7.88060e+02,2.95000e+02,-1.28106e+03,
3.00000e+02,-8.71339e+02,3.00000e+02,-1.29080e+03,
3.05000e+02,-1.09515e+03,3.05000e+02,-1.21731e+03,
3.10000e+02,-8.58482e+02,3.10000e+02,-9.86374e+02,
3.15000e+02,-9.59167e+02,3.15000e+02,-9.47246e+02,
3.20000e+02,-5.90133e+02,3.20000e+02,-8.89377e+02,
3.25000e+02,-7.08247e+02,3.25000e+02,-7.46904e+02,
3.30000e+02,-7.15786e+02,3.30000e+02,-7.82312e+02,
3.35000e+02,-6.83233e+02,3.35000e+02,-8.64011e+02,
3.40000e+02,-6.60674e+02,3.40000e+02,-9.13333e+02,
3.45000e+02,-7.10610e+02,3.45000e+02,-9.52162e+02,
3.50000e+02,-5.97363e+02,3.50000e+02,-9.68345e+02,
3.55000e+02,-5.34924e+02,3.55000e+02,-9.23792e+02,
0.00000e+00,-3.86654e+02,0.00000e+00,-8.44689e+02,
5.00000e+00,-2.38997e+02,5.00000e+00,-6.15869e+02,
1.00000e+01,-1.01399e+02,1.00000e+01,-3.64069e+02,
1.50000e+01,4.53352e+01,1.50000e+01,-1.64344e+02,
2.00000e+01,2.18638e+02,2.00000e+01,4.93528e+01,
2.50000e+01,3.70699e+02,2.50000e+01,2.92725e+02,
3.00000e+01,5.08624e+02,3.00000e+01,5.11807e+02,
3.50000e+01,6.25336e+02,3.50000e+01,7.02893e+02,
4.00000e+01,7.05293e+02,4.00000e+01,8.60106e+02,
4.50000e+01,7.53027e+02,4.50000e+01,9.61431e+02,
5.00000e+01,7.95407e+02,5.00000e+01,1.02375e+03,
5.50000e+01,8.26707e+02,5.50000e+01,1.07802e+03,
6.00000e+01,9.21520e+02,6.00000e+01,1.11547e+03,
6.50000e+01,9.50273e+02,6.50000e+01,1.18361e+03,
7.00000e+01,1.04624e+03,7.00000e+01,1.27400e+03,
7.50000e+01,1.07838e+03,7.50000e+01,1.37447e+03,
8.00000e+01,1.10127e+03,8.00000e+01,1.45030e+03,
8.50000e+01,1.10126e+03,8.50000e+01,1.42188e+03,
9.00000e+01,1.06797e+03,9.00000e+01,1.37431e+03,
9.50000e+01,1.02359e+03,9.50000e+01,1.33707e+03,
1.00000e+02,9.62587e+02,1.00000e+02,1.23133e+03,
1.05000e+02,8.82754e+02,1.05000e+02,1.18742e+03,
1.10000e+02,7.91510e+02,1.10000e+02,1.02095e+03,
