Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:53
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
2.10000e+02,4.18130e+01,2.10000e+02,4.80658e+01,2.10000e+02,5.20918e+01,2.10000e+02,6.56435e+01,2.10000e+02,6.74802e+01,
2.15000e+02,5.03485e+01,2.15000e+02,6.27503e+01,2.15000e+02,6.25545e+01,2.15000e+02,9.46951e+01,2.15000e+02,9.99247e+01,
2.20000e+02,5.95203e+01,2.20000e+02,7.83673e+01,2.20000e+02,7.35879e+01,2.20000e+02,1.06135e+02,2.20000e+02,1.02859e+02,
2.25000e+02,6.91386e+01,2.25000e+02,8.41160e+01,2.25000e+02,8.50755e+01,2.25000e+02,1.26903e+02,2.25000e+02,1.22591e+02,
2.30000e+02,7.86010e+01,2.30000e+02,9.78953e+01,2.30000e+02,9.67131e+01,2.30000e+02,1.44352e+02,2.30000e+02,1.36004e+02,
2.35000e+02,8.78745e+01,2.35000e+02,1.02824e+02,2.35000e+02,1.07902e+02,2.35000e+02,1.58563e+02,2.35000e+02,1.44409e+02,
2.40000e+02,9.64343e+01,2.40000e+02,1.06787e+02,2.40000e+02,1.19167e+02,2.40000e+02,1.64524e+02,2.40000e+02,1.45154e+02,
2.45000e+02,1.03728e+02,2.45000e+02,1.11531e+02,2.45000e+02,1.28793e+02,2.45000e+02,1.67231e+02,2.45000e+02,1.48681e+02,
2.50000e+02,1.09944e+02,2.50000e+02,1.13798e+02,2.50000e+02,1.36451e+02,2.50000e+02,1.68432e+02,2.50000e+02,1.51723e+02,
2.55000e+02,1.14778e+02,2.55000e+02,1.16079e+02,2.55000e+02,1.42126e+02,2.55000e+02,1.70510e+02,2.55000e+02,1.55643e+02,
2.60000e+02,1.18464e+02,2.60000e+02,1.17083e+02,2.60000e+02,1.45854e+02,2.60000e+02,1.72634e+02,2.60000e+02,1.57807e+02,
2.65000e+02,1.20680e+02,2.65000e+02,1.16815e+02,2.65000e+02,1.47306e+02,2.65000e+02,1.72362e+02,2.65000e+02,1.57128e+02,
2.70000e+02,1.21479e+02,2.70000e+02,1.15104e+02,2.70000e+02,1.46138e+02,2.70000e+02,1.59431e+02,2.70000e+02,1.53469e+02,
2.75000e+02,1.20294e+02,2.75000e+02,1.11972e+02,2.75000e+02,1.42481e+02,2.75000e+02,1.54460e+02,2.75000e+02,1.47443e+02,
2.80000e+02,1.16734e+02,2.80000e+02,1.08258e+02,2.80000e+02,1.37140e+02,2.80000e+02,1.46511e+02,2.80000e+02,1.41543e+02,
