Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:56
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
1.95000e+02,1.62781e+01,1.95000e+02,2.47401e+01,
2.00000e+02,2.50416e+01,2.00000e+02,3.21733e+01,
2.05000e+02,3.72400e+01,2.05000e+02,3.60401e+01,
2.10000e+02,6.04244e+01,2.10000e+02,4.75422e+01,
2.15000e+02,8.54357e+01,2.15000e+02,6.49565e+01,
2.20000e+02,9.46477e+01,2.20000e+02,6.49048e+01,
2.25000e+02,8.42416e+01,2.25000e+02,1.53673e+02,
2.30000e+02,9.05919e+01,2.30000e+02,1.38738e+02,
2.35000e+02,1.02928e+02,2.35000e+02,1.38083e+02,
2.40000e+02,1.07947e+02,2.40000e+02,1.37391e+02,
2.45000e+02,3.44324e+02,2.45000e+02,1.40498e+02,
2.50000e+02,4.93409e+01,2.50000e+02,1.47468e+02,
2.55000e+02,1.14330e+02,2.55000e+02,1.51077e+02,
2.60000e+02,9.09702e+01,2.60000e+02,1.44169e+02,
2.65000e+02,1.02921e+02,2.65000e+02,1.39322e+02,
2.70000e+02,1.10142e+02,2.70000e+02,1.17066e+02,
2.75000e+02,1.04186e+02,2.75000e+02,1.21543e+02,
2.80000e+02,1.00138e+02,2.80000e+02,1.32032e+02,
2.85000e+02,1.06144e+02,2.85000e+02,1.14339e+02,
2.90000e+02,5.87878e+01,2.90000e+02,1.13346e+02,
2.95000e+02,7.82247e+01,2.95000e+02,1.05505e+02,
3.00000e+02,7.35286e+01,3.00000e+02,1.04206e+02,
3.05000e+02,9.72948e+01,3.05000e+02,9.13743e+01,
3.10000e+02,5.98479e+01,3.10000e+02,6.41983e+01,
3.15000e+02,7.33690e+01,3.15000e+02,5.52326e+01,
3.20000e+02,7.66927e+00,3.20000e+02,4.46067e+01,
3.25000e+02,2.42311e+01,3.25000e+02,1.63395e+01,
3.30000e+02,2.08017e+01,3.30000e+02,8.42841e+00,
3.35000e+02,1.41000e+01,3.35000e+02,1.03798e+01,
3.40000e+02,4.42297e+00,3.40000e+02,9.89729e+00,
3.45000e+02,7.38547e+00,3.45000e+02,7.85303e+00,
3.50000e+02,-6.07247e+00,3.50000e+02,1.05213e+00,
3.55000e+02,-1.04737e+01,3.55000e+02,-8.19033e+00,
0.00000e+00,-1.80895e+01,0.00000e+00,-1.62231e+01,
5.00000e+00,-2.17631e+01,5.00000e+00,-2.77488e+01,
1.00000e+01,-2.21036e+01,1.00000e+01,-3.28828e+01,
1.50000e+01,-1.91160e+01,1.50000e+01,-3.20931e+01,
2.00000e+01,-1.13432e+01,2.00000e+01,-2.61414e+01,
2.50000e+01,-9.45286e-01,2.50000e+01,-1.29986e+01,
3.00000e+01,1.21154e+01,3.00000e+01,4.33124e+00,
3.50000e+01,2.63644e+01,3.50000e+01,2.45193e+01,
4.00000e+01,3.99977e+01,4.00000e+01,4.56379e+01,
4.50000e+01,5.29011e+01,4.50000e+01,6.44576e+01,
