Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:19
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
3.40000e+02,-7.07681e+02,3.40000e+02,-9.59960e+02,
3.45000e+02,-7.30281e+02,3.45000e+02,-9.88341e+02,
3.50000e+02,-6.36362e+02,3.50000e+02,-9.76825e+02,
3.55000e+02,-5.68338e+02,3.55000e+02,-8.83413e+02,
0.00000e+00,-4.18480e+02,0.00000e+00,-7.35859e+02,
5.00000e+00,-2.58984e+02,5.00000e+00,-5.41638e+02,
1.00000e+01,-9.96104e+01,1.00000e+01,-3.25845e+02,
1.50000e+01,5.23368e+01,1.50000e+01,-1.20222e+02,
2.00000e+01,2.29999e+02,2.00000e+01,7.08894e+01,
2.50000e+01,3.86417e+02,2.50000e+01,2.94270e+02,
3.00000e+01,5.31741e+02,3.00000e+01,5.09409e+02,
3.50000e+01,6.48458e+02,3.50000e+01,6.97008e+02,
4.00000e+01,7.21043e+02,4.00000e+01,8.50302e+02,
4.50000e+01,7.72072e+02,4.50000e+01,9.50921e+02,
5.00000e+01,8.15078e+02,5.00000e+01,1.01697e+03,
5.50000e+01,8.46890e+02,5.50000e+01,1.06708e+03,
6.00000e+01,8.69114e+02,6.00000e+01,1.10479e+03,
6.50000e+01,8.82728e+02,6.50000e+01,1.12920e+03,
7.00000e+01,8.88675e+02,7.00000e+01,1.14278e+03,
7.50000e+01,8.88059e+02,7.50000e+01,1.14511e+03,
8.00000e+01,8.81829e+02,8.00000e+01,1.13801e+03,
8.50000e+01,8.69171e+02,8.50000e+01,1.12331e+03,
9.00000e+01,8.51280e+02,9.00000e+01,1.10021e+03,
9.50000e+01,8.28359e+02,9.50000e+01,1.07033e+03,
1.00000e+02,8.00888e+02,1.00000e+02,1.03430e+03,
1.05000e+02,7.69151e+02,1.05000e+02,9.92688e+02,
1.10000e+02,7.33793e+02,1.10000e+02,9.46326e+02,
1.15000e+02,6.95394e+02,1.15000e+02,8.95906e+02,
1.20000e+02,6.54695e+02,1.20000e+02,8.41413e+02,
1.25000e+02,6.11779e+02,1.25000e+02,7.84373e+02,
1.30000e+02,5.67487e+02,1.30000e+02,7.23843e+02,
1.35000e+02,5.21832e+02,1.35000e+02,6.60004e+02,
1.40000e+02,4.73923e+02,1.40000e+02,5.92758e+02,
1.45000e+02,4.23664e+02,1.45000e+02,5.21318e+02,
1.50000e+02,3.71269e+02,1.50000e+02,4.32723e+02,
1.55000e+02,3.09020e+02,1.55000e+02,3.09886e+02,
1.60000e+02,2.14916e+02,1.60000e+02,1.72310e+02,
1.65000e+02,1.14255e+02,1.65000e+02,3.62797e+01,
1.70000e+02,1.55606e+01,1.70000e+02,-1.00847e+02,
1.75000e+02,-8.61075e+01,1.75000e+02,-2.69241e+02,
1.80000e+02,-2.10034e+02,1.80000e+02,-4.36511e+02,
1.85000e+02,-3.18790e+02,1.85000e+02,-5.44733e+02,
1.90000e+02,-3.93230e+02,1.90000e+02,-6.35550e+02,
1.95000e+02,-4.66800e+02,1.95000e+02,-6.92187e+02,
2.00000e+02,-4.99433e+02,2.00000e+02,-7.31782e+02,
2.05000e+02,-5.17034e+02,2.05000e+02,-7.25520e+02,
2.10000e+02,-5.44273e+02,2.10000e+02,-7.25195e+02,
2.15000e+02,-5.43751e+02,2.15000e+02,-7.89964e+02,
2.20000e+02,-5.96670e+02,2.20000e+02,-8.45729e+02,
2.25000e+02,-6.62184e+02,2.25000e+02,-8.36228e+02,
2.30000e+02,-6.92514e+02,2.30000e+02,-8.31168e+02,
2.35000e+02,-7.13089e+02,2.35000e+02,-9.21166e+02,
2.40000e+02,-7.43084e+02,2.40000e+02,-1.02747e+03,
2.45000e+02,-7.68525e+02,2.45000e+02,-1.08778e+03,
2.50000e+02,-7.92441e+02,2.50000e+02,-1.14300e+03,
2.55000e+02,-7.99196e+02,2.55000e+02,-1.18545e+03,
2.60000e+02,-7.62653e+02,2.60000e+02,-1.23336e+03,
2.65000e+02,-6.10572e+02,2.65000e+02,-1.26555e+03,
2.70000e+02,-7.05269e+02,2.70000e+02,-1.33240e+03,
2.75000e+02,-7.20342e+02,2.75000e+02,-1.14341e+03,
2.80000e+02,-8.37994e+02,2.80000e+02,-9.86913e+02,
2.85000e+02,-8.82571e+02,2.85000e+02,-1.09666e+03,
2.90000e+02,-8.93067e+02,2.90000e+02,-1.11372e+03,
2.95000e+02,-8.66695e+02,2.95000e+02,-1.15482e+03,
3.00000e+02,-7.92540e+02,3.00000e+02,-1.15678e+03,
3.05000e+02,-7.71889e+02,3.05000e+02,-1.05881e+03,
3.10000e+02,-8.30893e+02,3.10000e+02,-9.11928e+02,
3.15000e+02,-8.12682e+02,3.15000e+02,-1.01270e+03,
3.20000e+02,-7.12708e+02,3.20000e+02,-9.88696e+02,
3.25000e+02,-7.40750e+02,3.25000e+02,-8.89765e+02,
3.30000e+02,-7.69642e+02,3.30000e+02,-8.95186e+02,
3.35000e+02,-7.36236e+02,3.35000e+02,-9.75365e+02,
3.40000e+02,-7.07077e+02,3.40000e+02,-9.53233e+02,
3.45000e+02,-7.29179e+02,3.45000e+02,-9.69640e+02,
3.50000e+02,-6.36530e+02,3.50000e+02,-9.43669e+02,
3.55000e+02,-5.69572e+02,3.55000e+02,-8.86243e+02,
0.00000e+00,-4.20455e+02,0.00000e+00,-7.36369e+02,
5.00000e+00,-2.61536e+02,5.00000e+00,-5.46229e+02,
1.00000e+01,-1.02007e+02,1.00000e+01,-3.30164e+02,
1.50000e+01,4.87338e+01,1.50000e+01,-1.25206e+02,
2.00000e+01,2.25483e+02,2.00000e+01,6.45895e+01,
2.50000e+01,3.87424e+02,2.50000e+01,2.85460e+02,
3.00000e+01,5.32718e+02,3.00000e+01,5.03259e+02,
3.50000e+01,6.49094e+02,3.50000e+01,6.95002e+02,
4.00000e+01,7.21140e+02,4.00000e+01,8.50816e+02,
4.50000e+01,7.71776e+02,4.50000e+01,9.51589e+02,
5.00000e+01,8.14565e+02,5.00000e+01,1.01751e+03,
5.50000e+01,8.46372e+02,5.50000e+01,1.06847e+03,
6.00000e+01,8.68426e+02,6.00000e+01,1.10584e+03,
6.50000e+01,8.82063e+02,6.50000e+01,1.13025e+03,
7.00000e+01,8.88115e+02,7.00000e+01,1.14378e+03,
7.50000e+01,8.87639e+02,7.50000e+01,1.14628e+03,
8.00000e+01,8.81555e+02,8.00000e+01,1.13953e+03,
8.50000e+01,8.69075e+02,8.50000e+01,1.12492e+03,
9.00000e+01,8.51164e+02,9.00000e+01,1.10182e+03,
9.50000e+01,8.28392e+02,9.50000e+01,1.07208e+03,
1.00000e+02,8.00879e+02,1.00000e+02,1.03601e+03,
1.05000e+02,7.69162e+02,1.05000e+02,9.94310e+02,
1.10000e+02,7.33804e+02,1.10000e+02,9.47766e+02,
1.15000e+02,6.95430e+02,1.15000e+02,8.97047e+02,
1.20000e+02,6.54849e+02,1.20000e+02,8.42197e+02,
1.25000e+02,6.11928e+02,1.25000e+02,7.84765e+02,
1.30000e+02,5.67721e+02,1.30000e+02,7.24108e+02,
1.35000e+02,5.22019e+02,1.35000e+02,6.60090e+02,
1.40000e+02,4.74184e+02,1.40000e+02,5.91840e+02,
1.45000e+02,4.23927e+02,1.45000e+02,5.20063e+02,
1.50000e+02,3.71470e+02,1.50000e+02,4.28768e+02,
1.55000e+02,3.08868e+02,1.55000e+02,3.04707e+02,
1.60000e+02,2.14059e+02,1.60000e+02,1.65942e+02,
1.65000e+02,1.12962e+02,1.65000e+02,3.13823e+01,
1.70000e+02,1.39523e+01,1.70000e+02,-1.06372e+02,
1.75000e+02,-8.89752e+01,1.75000e+02,-2.73553e+02,
1.80000e+02,-2.14926e+02,1.80000e+02,-4.40459e+02,
1.85000e+02,-3.22826e+02,1.85000e+02,-5.46566e+02,
1.90000e+02,-3.97825e+02,1.90000e+02,-6.37076e+02,
1.95000e+02,-4.69582e+02,1.95000e+02,-6.97825e+02,
2.00000e+02,-5.00414e+02,2.00000e+02,-7.48184e+02,
2.05000e+02,-5.18396e+02,2.05000e+02,-7.40888e+02,
2.10000e+02,-5.44137e+02,2.10000e+02,-7.88657e+02,
2.15000e+02,-5.72288e+02,2.15000e+02,-8.37704e+02,
2.20000e+02,-6.34383e+02,2.20000e+02,-8.57633e+02,
2.25000e+02,-6.69789e+02,2.25000e+02,-8.46367e+02,
2.30000e+02,-6.76166e+02,2.30000e+02,-8.40610e+02,
2.35000e+02,-6.87475e+02,2.35000e+02,-9.18564e+02,
2.40000e+02,-6.73346e+02,2.40000e+02,-1.04979e+03,
2.45000e+02,-7.07264e+02,2.45000e+02,-1.09337e+03,
2.50000e+02,-7.15706e+02,2.50000e+02,-1.14338e+03,
2.55000e+02,-7.18163e+02,2.55000e+02,-1.18786e+03,
2.60000e+02,-6.43972e+02,2.60000e+02,-1.23158e+03,
2.65000e+02,-5.99351e+02,2.65000e+02,-1.11705e+03,
2.70000e+02,-7.33160e+02,2.70000e+02,-1.16698e+03,
2.75000e+02,-8.14894e+02,2.75000e+02,-1.13138e+03,
2.80000e+02,-8.62328e+02,2.80000e+02,-1.12790e+03,
2.85000e+02,-8.87829e+02,2.85000e+02,-1.10491e+03,
2.90000e+02,-8.88220e+02,2.90000e+02,-1.07120e+03,
2.95000e+02,-8.68669e+02,2.95000e+02,-1.04366e+03,
3.00000e+02,-7.66867e+02,3.00000e+02,-1.06155e+03,
3.05000e+02,-7.55544e+02,3.05000e+02,-9.59948e+02,
3.10000e+02,-8.29570e+02,3.10000e+02,-8.58301e+02,
3.15000e+02,-8.15572e+02,3.15000e+02,-1.01054e+03,
3.20000e+02,-7.21125e+02,3.20000e+02,-9.85366e+02,
3.25000e+02,-7.30762e+02,3.25000e+02,-8.95762e+02,
3.30000e+02,-7.49385e+02,3.30000e+02,-8.80517e+02,
3.35000e+02,-7.28362e+02,3.35000e+02,-9.64722e+02,
3.40000e+02,-7.01062e+02,3.40000e+02,-9.51767e+02,
3.45000e+02,-7.27402e+02,3.45000e+02,-9.64183e+02,
3.50000e+02,-6.36983e+02,3.50000e+02,-9.36492e+02,
3.55000e+02,-5.72466e+02,3.55000e+02,-8.89746e+02,
0.00000e+00,-4.21242e+02,0.00000e+00,-7.35896e+02,
5.00000e+00,-2.62579e+02,5.00000e+00,-5.44893e+02,
1.00000e+01,-1.02250e+02,1.00000e+01,-3.24069e+02,
1.50000e+01,4.88690e+01,1.50000e+01,-1.19527e+02,
2.00000e+01,2.24226e+02,2.00000e+01,6.93705e+01,
2.50000e+01,3.81885e+02,2.50000e+01,2.88619e+02,
3.00000e+01,5.27471e+02,3.00000e+01,5.04655e+02,
3.50000e+01,6.46260e+02,3.50000e+01,6.95521e+02,
4.00000e+01,7.19446e+02,4.00000e+01,8.50777e+02,
4.50000e+01,7.70640e+02,4.50000e+01,9.51340e+02,
5.00000e+01,8.13877e+02,5.00000e+01,1.01726e+03,
5.50000e+01,8.45636e+02,5.50000e+01,1.06825e+03,
6.00000e+01,8.68205e+02,6.00000e+01,1.10570e+03,
6.50000e+01,8.81502e+02,6.50000e+01,1.13018e+03,
7.00000e+01,8.87623e+02,7.00000e+01,1.14295e+03,
7.50000e+01,8.87155e+02,7.50000e+01,1.14570e+03,
8.00000e+01,8.81066e+02,8.00000e+01,1.13888e+03,
8.50000e+01,8.68599e+02,8.50000e+01,1.12446e+03,
9.00000e+01,8.50602e+02,9.00000e+01,1.10165e+03,
9.50000e+01,8.27811e+02,9.50000e+01,1.07198e+03,
1.00000e+02,8.00287e+02,1.00000e+02,1.03606e+03,
1.05000e+02,7.68589e+02,1.05000e+02,9.94511e+02,
1.10000e+02,7.33242e+02,1.10000e+02,9.48118e+02,
1.15000e+02,6.94941e+02,1.15000e+02,8.97547e+02,
1.20000e+02,6.54342e+02,1.20000e+02,8.42948e+02,
1.25000e+02,6.11427e+02,1.25000e+02,7.85707e+02,
1.30000e+02,5.67368e+02,1.30000e+02,7.25384e+02,
1.35000e+02,5.21668e+02,1.35000e+02,6.62036e+02,
1.40000e+02,4.74323e+02,1.40000e+02,5.94256e+02,
1.45000e+02,4.23862e+02,1.45000e+02,5.23205e+02,
1.50000e+02,3.71002e+02,1.50000e+02,4.34014e+02,
1.55000e+02,3.08014e+02,1.55000e+02,3.13683e+02,
1.60000e+02,2.11728e+02,1.60000e+02,1.75634e+02,
1.65000e+02,1.10387e+02,1.65000e+02,3.84322e+01,
1.70000e+02,1.12165e+01,1.70000e+02,-9.97970e+01,
1.75000e+02,-9.14714e+01,1.75000e+02,-2.63501e+02,
1.80000e+02,-2.15799e+02,1.80000e+02,-4.47882e+02,
1.85000e+02,-3.22642e+02,1.85000e+02,-5.58567e+02,
1.90000e+02,-3.97086e+02,1.90000e+02,-6.38644e+02,
1.95000e+02,-4.68490e+02,1.95000e+02,-6.90018e+02,
2.00000e+02,-5.00820e+02,2.00000e+02,-7.25526e+02,
2.05000e+02,-5.20705e+02,2.05000e+02,-7.58041e+02,
2.10000e+02,-5.45863e+02,2.10000e+02,-7.83833e+02,
2.15000e+02,-5.75360e+02,2.15000e+02,-8.38131e+02,
2.20000e+02,-6.37491e+02,2.20000e+02,-8.58902e+02,
2.25000e+02,-6.67252e+02,2.25000e+02,-8.47180e+02,
2.30000e+02,-6.71016e+02,2.30000e+02,-8.44764e+02,
2.35000e+02,-6.79964e+02,2.35000e+02,-8.53713e+02,
2.40000e+02,-7.07272e+02,2.40000e+02,-9.04272e+02,
2.45000e+02,-7.10257e+02,2.45000e+02,-9.82357e+02,
2.50000e+02,-6.21114e+02,2.50000e+02,-1.03532e+03,
2.55000e+02,-6.55701e+02,2.55000e+02,-1.07901e+03,
2.60000e+02,-7.01727e+02,2.60000e+02,-1.12030e+03,
2.65000e+02,-7.18870e+02,2.65000e+02,-1.16183e+03,
2.70000e+02,-7.62985e+02,2.70000e+02,-1.18754e+03,
2.75000e+02,-8.10411e+02,2.75000e+02,-1.19078e+03,
2.80000e+02,-8.47154e+02,2.80000e+02,-1.16600e+03,
2.85000e+02,-8.62947e+02,2.85000e+02,-1.10408e+03,
2.90000e+02,-8.58802e+02,2.90000e+02,-1.09094e+03,
2.95000e+02,-8.51517e+02,2.95000e+02,-1.07695e+03,
3.00000e+02,-7.62602e+02,3.00000e+02,-1.08933e+03,
3.05000e+02,-7.48407e+02,3.05000e+02,-9.90957e+02,
3.10000e+02,-8.24040e+02,3.10000e+02,-8.73696e+02,
3.15000e+02,-8.14136e+02,3.15000e+02,-9.71466e+02,
3.20000e+02,-7.16360e+02,3.20000e+02,-9.73272e+02,
3.25000e+02,-7.29173e+02,3.25000e+02,-8.85732e+02,
3.30000e+02,-7.66451e+02,3.30000e+02,-8.72617e+02,
3.35000e+02,-7.30393e+02,3.35000e+02,-9.63877e+02,
3.40000e+02,-7.03452e+02,3.40000e+02,-9.49084e+02,
3.45000e+02,-7.28868e+02,3.45000e+02,-9.65028e+02,
3.50000e+02,-6.38171e+02,3.50000e+02,-9.41594e+02,
3.55000e+02,-5.74534e+02,3.55000e+02,-8.92004e+02,
0.00000e+00,-4.24106e+02,0.00000e+00,-7.35255e+02,
5.00000e+00,-2.65203e+02,5.00000e+00,-5.45180e+02,
1.00000e+01,-1.05808e+02,1.00000e+01,-3.22515e+02,
1.50000e+01,4.47553e+01,1.50000e+01,-1.16416e+02,
2.00000e+01,2.20571e+02,2.00000e+01,7.45226e+01,
2.50000e+01,3.78986e+02,2.50000e+01,2.92420e+02,
3.00000e+01,5.24892e+02,3.00000e+01,4.99734e+02,
3.50000e+01,6.44537e+02,3.50000e+01,6.86786e+02,
4.00000e+01,7.18116e+02,4.00000e+01,8.43128e+02,
4.50000e+01,7.69276e+02,4.50000e+01,9.46747e+02,
5.00000e+01,8.12595e+02,5.00000e+01,1.01453e+03,
5.50000e+01,8.44460e+02,5.50000e+01,1.06595e+03,
6.00000e+01,8.66813e+02,6.00000e+01,1.10384e+03,
6.50000e+01,8.80391e+02,6.50000e+01,1.12857e+03,
7.00000e+01,8.86574e+02,7.00000e+01,1.14148e+03,
7.50000e+01,8.86303e+02,7.50000e+01,1.14406e+03,
